"gene_name","one_cell.ribo","two_cell.ribo","four_cell.ribo","eight_cell.ribo","one_cell.rna","two_cell.rna","four_cell.rna","eight_cell.rna","WT_one_cell_TE","WT_two_cell_TE","WT_four_cell_TE","WT_eight_cell_TE"
"C05C10.7",-2.57982958614836,-2.61231588457898,-2.5848342367946,-1.96808943205045,-1.16450341773405,-1.26124210588405,-1.11909019867272,-1.94572717165982,-1.41532616841431,-1.35107377869493,-1.46574403812188,-0.0223622603906291
"C05C8.1",-0.802155555403651,-0.524531232807442,-0.892710933882439,-0.83182750828962,-0.511735209323784,-0.499830121108763,-0.493866365023405,-0.42254914155187,-0.290420346079867,-0.0247011116986791,-0.398844568859034,-0.40927836673775
"C05C8.5",-2.57982958614836,-0.528998296265153,-0.0235974041275017,0.499751359576223,0.826750863712902,0.721272998507003,0.287869989521379,-0.0369667253374428,-3.40658044986126,-1.25027129477216,-0.31146739364888,0.536718084913666
"C05D11.1",1.10904986796558,0.573299302257593,0.926153775798349,0.959387590008903,1.01646611033547,0.824920650480643,1.06532808127446,1.52104861824374,0.0925837576301056,-0.251621348223051,-0.13917430547611,-0.561661028234834
"C05D11.9",0.923518027270163,0.876712586772559,0.235618949206989,0.400545183499386,0.983739941157321,1.25413254291685,1.02833556368424,1.16391870696864,-0.0602219138871588,-0.377419956144286,-0.792716614477256,-0.763373523469249
"C05D2.10",-0.329924750983225,0.0751303435684564,0.595550633751816,0.447768749831569,0.789311911260019,0.689594665503289,0.757054147132086,0.804173845827589,-1.11923666224324,-0.614464321934833,-0.16150351338027,-0.35640509599602
"C05G5.2",-1.19353522502847,-0.110979775168418,-0.242912751119607,-0.58961375221902,-1.21118061076956,-1.09708327751811,-0.844203395663308,-0.391171707436586,0.0176453857410965,0.986103502349697,0.601290644543702,-0.198442044782433
"C06A5.3",-0.604207726857644,-0.795958453765492,-1.07181194456349,-1.76375918254405,1.28172323875254,1.9632307476057,0.974872952390475,0.911705673864102,-1.88593096561018,-2.75918920137119,-2.04668489695397,-2.67546485640815
"C06A5.6",-1.08196344937136,-1.4488257970396,-1.86224129732056,-1.99164603918173,0.122145395360275,0.0462001876380934,-0.64838141349993,-0.49611606127583,-1.20410884473164,-1.49502598467769,-1.21385988382063,-1.4955299779059
"C06A6.2",0.0937241792103765,0.306241029056046,-0.0762052830589637,0.103523937226979,-0.878658157482312,-1.36590856614043,-0.902517212162086,-1.0865993986021,0.972382336692688,1.67214959519648,0.826311929103122,1.19012333582908
"C06A6.4",1.46306776449243,1.38642916418638,1.43317214673135,1.52286394817053,0.0797752724358202,-0.134219034427181,0.316000234604293,0.0414657945309063,1.38329249205661,1.52064819861356,1.11717191212706,1.48139815363962
